The entropy values are presented as TS (kcal/mol)
ID	TS_Trans	E_Trans	TS_Rot
0	2.6185		1.26438	0
1	3.06181		1.2618	0
2	2.57141		1.26437	0
3	2.84301		1.26151	0
4	3.19987		1.26006	0
5	3.43919		1.25508	0
6	3.64415		1.25358	0
7	3.85663		1.25317	0
8	3.62934		1.25442	0
9	3.29043		1.25943	0
10	3.42736		1.25517	0
11	2.97924		1.2583	0
12	2.53031		1.26595	0
13	2.69242		1.26519	0
14	3.84157		1.25313	0
15	3.11651		1.25675	0
16	3.17507		1.25759	0
17	3.73176		1.25374	0
18	3.9415		1.25306	0
19	3.45793		1.2566	0
20	3.47765		1.25513	0
21	3.26476		1.25601	0
22	3.19143		1.25898	0
23	2.82927		1.26212	0
24	2.89789		1.26293	0
25	2.9549		1.26055	0
26	2.5146		1.26734	0
27	3.52397		1.25522	0
28	3.36217		1.25777	0
29	2.96033		1.25905	0
30	3.16493		1.25763	0
31	3.87346		1.2529	0
32	2.54744		1.26542	0
33	2.80301		1.26409	0
34	3.1582		1.25956	0
35	2.82569		1.26144	0
36	2.79247		1.26209	0
37	2.45002		1.27046	0
38	3.55182		1.25526	0
39	3.68555		1.25359	0
40	3.00606		1.25905	0
41	3.15592		1.25658	0
42	2.48187		1.26698	0
43	2.88342		1.26077	0
44	2.86431		1.26236	0
45	2.70545		1.26444	0
46	2.88325		1.25999	0
47	3.36453		1.25633	0
48	2.85904		1.26042	0
49	2.60808		1.26563	0
50	2.80706		1.26286	0
51	2.48826		1.2664	0
52	2.83852		1.2622	0
53	2.74941		1.2643	0
54	3.06875		1.2572	0
55	3.46527		1.25626	0
56	2.63474		1.26383	0
57	3.66172		1.25478	0
58	3.09415		1.25711	0
59	2.88921		1.25935	0
60	3.30281		1.25661	0
61	3.50084		1.25481	0
62	3.44173		1.2553	0
63	2.68335		1.26438	0
64	2.83659		1.26179	0
65	3.58611		1.25384	0
66	2.69567		1.26726	0
67	2.51576		1.26702	0
68	3.22441		1.25667	0
69	3.65853		1.25515	0
70	2.9941		1.25823	0
71	2.48051		1.2696	0
72	3.68242		1.25337	0
73	2.69199		1.26201	0
74	3.37191		1.25573	0
75	2.9789		1.25996	0
76	3.06705		1.25906	0
77	2.91313		1.25997	0
78	2.79735		1.26677	0
79	2.60299		1.26499	0
80	2.80663		1.26064	0
81	2.60967		1.26516	0
82	2.64435		1.26363	0
83	3.2362		1.25594	0
84	2.95106		1.25976	0
85	2.99963		1.26183	0
86	2.98023		1.25932	0
87	2.52452		1.26837	0
88	3.63621		1.25469	0
89	3.43999		1.25468	0
90	2.50791		1.26876	0
91	2.87845		1.25993	0
92	3.6295		1.25605	0
93	2.93275		1.26076	0
94	3.81278		1.25312	0
95	4.118		1.25231	0
96	3.60444		1.25429	0
97	2.96075		1.25974	0
98	2.55769		1.26666	0
99	3.45404		1.25724	0
100	2.53194		1.26578	0
101	3.13715		1.25779	0
102	2.92881		1.26399	0
103	3.09258		1.25856	0
104	2.28767		1.27302	0
105	2.88457		1.26397	0
106	3.14009		1.25675	0
107	2.89945		1.263	0
108	3.41984		1.25613	0
109	4.13392		1.25228	0
110	3.22452		1.25808	0
111	2.55974		1.26615	0
112	3.2153		1.25911	0
113	3.20073		1.25705	0
114	2.50794		1.2662	0
115	3.90576		1.25376	0
116	3.03692		1.25893	0
117	2.33035		1.27118	0
118	2.74896		1.26132	0
119	3.23187		1.25617	0
120	3.23951		1.25694	0
121	3.17945		1.25673	0
122	3.77868		1.25388	0
123	2.7188		1.26168	0
124	2.30989		1.27207	0
125	3.0521		1.25745	0
126	2.36526		1.27075	0
127	3.71125		1.25374	0
128	3.24021		1.25808	0
129	2.89775		1.26087	0
130	2.46619		1.26848	0
131	2.80963		1.26098	0
132	3.17728		1.25911	0
133	3.90266		1.25303	0
134	2.96494		1.25956	0
135	2.32009		1.27054	0
136	2.43116		1.26843	0
137	2.75558		1.26266	0
138	3.53181		1.25458	0
139	3.01211		1.25783	0
140	2.68435		1.266	0
141	3.36289		1.2553	0
142	3.08344		1.25758	0
143	2.72163		1.26242	0
144	2.6627		1.26435	0
145	2.78849		1.26364	0
146	3.61274		1.25372	0
147	2.20003		1.27555	0
148	3.04435		1.25992	0
149	3.39342		1.25675	0
150	2.80143		1.26042	0
151	2.59949		1.2666	0
152	2.53745		1.26611	0
153	2.7966		1.26256	0
154	3.73157		1.25356	0
155	3.1615		1.25851	0
156	2.56402		1.26505	0
157	2.57251		1.26647	0
158	3.33268		1.25528	0
159	3.57133		1.25619	0
160	2.59965		1.26476	0
161	2.88138		1.26273	0
162	3.72496		1.25375	0
163	2.93619		1.26225	0
164	3.12231		1.26044	0
165	2.40289		1.26902	0
166	2.98548		1.25998	0
167	3.65543		1.25384	0
