The entropy values are presented as TS (kcal/mol)
ID	TS_Trans	E_Trans	TS_Rot
0	3.55938		1.25454	0
1	3.8042		1.25321	0
2	3.73312		1.25364	0
3	3.60614		1.25424	0
4	3.76547		1.25326	0
5	3.79621		1.25306	0
6	3.85313		1.25278	0
7	4.17981		1.25214	0
8	3.93991		1.25262	0
9	3.66031		1.25471	0
10	3.69696		1.25376	0
11	3.46262		1.25473	0
12	3.07532		1.25725	0
13	3.45073		1.25514	0
14	3.99945		1.25266	0
15	3.61928		1.25385	0
16	3.83215		1.25282	0
17	3.69741		1.25336	0
18	3.91555		1.25287	0
19	3.98533		1.25255	0
20	3.60167		1.25377	0
21	3.46208		1.25445	0
22	3.5335		1.25544	0
23	3.90759		1.25274	0
24	3.83652		1.25305	0
25	3.46795		1.25439	0
26	3.68201		1.25348	0
27	3.67377		1.25353	0
28	3.70584		1.2533	0
29	3.75915		1.25317	0
30	3.83814		1.25283	0
31	3.97506		1.2527	0
32	3.52508		1.25455	0
33	3.73945		1.25341	0
34	3.54766		1.25417	0
35	3.55387		1.25391	0
36	3.70868		1.25342	0
37	3.31176		1.25563	0
38	3.54658		1.25508	0
39	3.67772		1.25359	0
40	3.56962		1.25448	0
41	3.82214		1.2534	0
42	3.4121		1.25464	0
43	3.59256		1.25455	0
44	3.95735		1.25281	0
45	3.76707		1.25392	0
46	3.52692		1.25407	0
47	3.70621		1.2534	0
48	3.34829		1.25546	0
49	3.32323		1.25625	0
50	3.6611		1.25348	0
51	3.34808		1.25503	0
52	3.51467		1.25431	0
53	3.26433		1.25609	0
54	3.39905		1.2548	0
55	3.5704		1.25396	0
56	3.29258		1.25619	0
57	3.48164		1.25465	0
58	3.35024		1.25584	0
59	3.11568		1.25684	0
60	3.3577		1.25534	0
61	3.92809		1.25264	0
62	3.77371		1.25317	0
63	3.22785		1.25607	0
64	3.89904		1.25312	0
65	3.96269		1.25262	0
66	3.48805		1.25524	0
67	3.52026		1.25439	0
68	3.61214		1.25372	0
69	3.77474		1.25343	0
70	3.85077		1.25302	0
71	3.4114		1.25447	0
72	4.08132		1.25232	0
73	3.65933		1.25347	0
74	3.15482		1.2573	0
75	3.73279		1.25326	0
76	3.73803		1.25333	0
77	3.9002		1.25319	0
78	3.24679		1.25613	0
79	3.63055		1.25366	0
80	3.86977		1.25288	0
81	3.79726		1.25301	0
82	3.70644		1.25339	0
83	3.3307		1.25525	0
84	3.67709		1.2542	0
85	3.83223		1.25297	0
86	3.83519		1.25296	0
87	3.44537		1.25475	0
88	3.53765		1.25482	0
89	3.60897		1.25378	0
90	3.41149		1.25485	0
91	3.35541		1.25518	0
92	3.64743		1.25374	0
93	3.84703		1.25306	0
94	3.52557		1.254	0
95	4.01448		1.25252	0
96	3.8168		1.25346	0
97	3.62043		1.25373	0
98	3.81713		1.25292	0
99	3.63777		1.25378	0
100	3.86567		1.25293	0
101	4.15758		1.25221	0
102	3.32708		1.25627	0
103	3.65175		1.25354	0
104	2.79477		1.26105	0
105	3.43566		1.25466	0
106	3.90719		1.25275	0
107	3.57504		1.25494	0
108	3.55833		1.25388	0
109	3.93572		1.25273	0
110	3.73926		1.25348	0
111	3.03953		1.25979	0
112	3.39434		1.25616	0
113	3.53236		1.2541	0
114	3.83499		1.25294	0
115	3.96373		1.25261	0
116	3.91696		1.25286	0
117	3.4775		1.25427	0
118	3.43711		1.2551	0
119	3.57624		1.25387	0
120	4.05863		1.25245	0
121	3.73918		1.2534	0
122	3.95687		1.25269	0
123	3.61253		1.25376	0
124	3.25464		1.25698	0
125	3.63894		1.25364	0
126	3.69652		1.25415	0
127	3.87066		1.2528	0
128	4.03099		1.25238	0
129	3.59538		1.25413	0
130	3.62479		1.25412	0
131	3.62682		1.25353	0
132	3.71291		1.25321	0
133	4.09154		1.25259	0
134	3.65824		1.25368	0
135	2.97786		1.25845	0
136	3.46582		1.25453	0
137	3.06023		1.25737	0
138	3.49466		1.25434	0
139	3.33529		1.25651	0
140	3.54467		1.25435	0
141	3.72034		1.25327	0
142	3.85547		1.25296	0
143	3.46087		1.25446	0
144	3.5617		1.25397	0
145	3.219		1.25894	0
146	3.84403		1.25287	0
147	3.38173		1.25482	0
148	3.63283		1.25371	0
149	3.55924		1.25392	0
150	3.57198		1.25393	0
151	3.78477		1.25301	0
152	3.52784		1.25472	0
153	3.95948		1.25259	0
154	4.02689		1.25237	0
155	3.35574		1.2557	0
156	3.24353		1.25594	0
157	3.65725		1.25352	0
158	4.01515		1.25259	0
159	3.85152		1.25329	0
160	3.47884		1.2543	0
161	3.5099		1.25439	0
162	3.53569		1.25469	0
163	3.6507		1.25347	0
164	3.77518		1.25353	0
165	3.59357		1.25371	0
166	3.52358		1.25422	0
167	3.41723		1.25528	0
168	3.74932		1.25309	0
169	3.32101		1.25585	0
170	3.40716		1.25601	0
171	3.46782		1.2547	0
172	3.94312		1.25273	0
173	3.49377		1.25455	0
174	3.58647		1.25408	0
175	3.79721		1.25303	0
176	3.64788		1.25348	0
177	3.86399		1.25283	0
178	3.44729		1.25486	0
179	3.80049		1.25349	0
180	3.73452		1.25325	0
181	3.68993		1.25337	0
182	3.33055		1.25611	0
183	3.13916		1.25662	0
184	4.04281		1.25271	0
185	3.85912		1.25285	0
186	3.9193		1.25273	0
187	2.97531		1.25799	0
188	3.55988		1.25416	0
189	3.79622		1.25315	0
190	3.69784		1.25329	0
191	3.20231		1.25667	0
192	3.74144		1.25333	0
193	3.5318		1.25395	0
194	3.63537		1.25372	0
195	3.28829		1.25651	0
196	3.89116		1.25354	0
197	3.45713		1.25458	0
198	3.10003		1.25846	0
199	3.95719		1.2526	0
200	3.61745		1.25358	0
201	3.51461		1.25463	0
202	3.41915		1.25444	0
203	4.15681		1.25226	0
204	3.78534		1.25313	0
205	3.18276		1.25684	0
206	3.72992		1.25407	0
207	3.10456		1.25927	0
208	3.79695		1.25315	0
209	3.76858		1.25396	0
